Card number,Set,Rarity,Region,Release,Series,Set type,Cover card,Page URL,Modification date,Version
AC02-JP007,Animation Chronicle 2022,"('Super Rare', ""Collector's Rare"")",JP,2022-06-11,Animation Chronicle,Booster pack,"('Crystal Skull', 'Dyna Tank', 'Royal Straight Slasher')",https://yugipedia.com/wiki/Animation_Chronicle_2022,2022-09-23 13:40:55,New
AC02-JP010,Animation Chronicle 2022,"('Super Rare', 'Collector""s Rare')",JP,2022-06-11,Animation Chronicle,Booster pack,"('Crystal Skull', 'Dyna Tank', 'Royal Straight Slasher')",https://yugipedia.com/wiki/Animation_Chronicle_2022,2022-09-23 13:40:55,Old
AC02-JP010,Animation Chronicle 2022,"('Super Rare', ""Collector's Rare"")",JP,2022-06-11,Animation Chronicle,Booster pack,"('Crystal Skull', 'Dyna Tank', 'Royal Straight Slasher')",https://yugipedia.com/wiki/Animation_Chronicle_2022,2022-09-23 13:40:55,New
AC02-JP016,Animation Chronicle 2022,"('Ultra Rare', 'Collector""s Rare')",JP,2022-06-11,Animation Chronicle,Booster pack,"('Crystal Skull', 'Dyna Tank', 'Royal Straight Slasher')",https://yugipedia.com/wiki/Animation_Chronicle_2022,2022-09-23 13:40:55,Old
AC02-JP016,Animation Chronicle 2022,"('Ultra Rare', ""Collector's Rare"")",JP,2022-06-11,Animation Chronicle,Booster pack,"('Crystal Skull', 'Dyna Tank', 'Royal Straight Slasher')",https://yugipedia.com/wiki/Animation_Chronicle_2022,2022-09-23 13:40:55,New
AC02-JP018,Animation Chronicle 2022,"('Ultra Rare', 'Collector""s Rare')",JP,2022-06-11,Animation Chronicle,Booster pack,"('Crystal Skull', 'Dyna Tank', 'Royal Straight Slasher')",https://yugipedia.com/wiki/Animation_Chronicle_2022,2022-09-23 13:40:55,Old
AC02-JP018,Animation Chronicle 2022,"('Ultra Rare', ""Collector's Rare"")",JP,2022-06-11,Animation Chronicle,Booster pack,"('Crystal Skull', 'Dyna Tank', 'Royal Straight Slasher')",https://yugipedia.com/wiki/Animation_Chronicle_2022,2022-09-23 13:40:55,New
AC02-JP021,Animation Chronicle 2022,"('Super Rare', 'Collector""s Rare')",JP,2022-06-11,Animation Chronicle,Booster pack,"('Crystal Skull', 'Dyna Tank', 'Royal Straight Slasher')",https://yugipedia.com/wiki/Animation_Chronicle_2022,2022-09-23 13:40:55,Old
AC02-JP021,Animation Chronicle 2022,"('Super Rare', ""Collector's Rare"")",JP,2022-06-11,Animation Chronicle,Booster pack,"('Crystal Skull', 'Dyna Tank', 'Royal Straight Slasher')",https://yugipedia.com/wiki/Animation_Chronicle_2022,2022-09-23 13:40:55,New
AC02-JP026,Animation Chronicle 2022,"('Super Rare', 'Collector""s Rare')",JP,2022-06-11,Animation Chronicle,Booster pack,"('Crystal Skull', 'Dyna Tank', 'Royal Straight Slasher')",https://yugipedia.com/wiki/Animation_Chronicle_2022,2022-09-23 13:40:55,Old
AC02-JP026,Animation Chronicle 2022,"('Super Rare', ""Collector's Rare"")",JP,2022-06-11,Animation Chronicle,Booster pack,"('Crystal Skull', 'Dyna Tank', 'Royal Straight Slasher')",https://yugipedia.com/wiki/Animation_Chronicle_2022,2022-09-23 13:40:55,New
AC02-JP029,Animation Chronicle 2022,"('Super Rare', 'Collector""s Rare')",JP,2022-06-11,Animation Chronicle,Booster pack,"('Crystal Skull', 'Dyna Tank', 'Royal Straight Slasher')",https://yugipedia.com/wiki/Animation_Chronicle_2022,2022-09-23 13:40:55,Old
AC02-JP029,Animation Chronicle 2022,"('Super Rare', ""Collector's Rare"")",JP,2022-06-11,Animation Chronicle,Booster pack,"('Crystal Skull', 'Dyna Tank', 'Royal Straight Slasher')",https://yugipedia.com/wiki/Animation_Chronicle_2022,2022-09-23 13:40:55,New
AC02-JP033,Animation Chronicle 2022,"('Ultra Rare', 'Collector""s Rare')",JP,2022-06-11,Animation Chronicle,Booster pack,"('Crystal Skull', 'Dyna Tank', 'Royal Straight Slasher')",https://yugipedia.com/wiki/Animation_Chronicle_2022,2022-09-23 13:40:55,Old
AC02-JP033,Animation Chronicle 2022,"('Ultra Rare', ""Collector's Rare"")",JP,2022-06-11,Animation Chronicle,Booster pack,"('Crystal Skull', 'Dyna Tank', 'Royal Straight Slasher')",https://yugipedia.com/wiki/Animation_Chronicle_2022,2022-09-23 13:40:55,New
AC02-JP037,Animation Chronicle 2022,"('Super Rare', 'Collector""s Rare')",JP,2022-06-11,Animation Chronicle,Booster pack,"('Crystal Skull', 'Dyna Tank', 'Royal Straight Slasher')",https://yugipedia.com/wiki/Animation_Chronicle_2022,2022-09-23 13:40:55,Old
AC02-JP037,Animation Chronicle 2022,"('Super Rare', ""Collector's Rare"")",JP,2022-06-11,Animation Chronicle,Booster pack,"('Crystal Skull', 'Dyna Tank', 'Royal Straight Slasher')",https://yugipedia.com/wiki/Animation_Chronicle_2022,2022-09-23 13:40:55,New
AC02-JP044,Animation Chronicle 2022,"('Ultra Rare', 'Collector""s Rare')",JP,2022-06-11,Animation Chronicle,Booster pack,"('Crystal Skull', 'Dyna Tank', 'Royal Straight Slasher')",https://yugipedia.com/wiki/Animation_Chronicle_2022,2022-09-23 13:40:55,Old
AC02-JP044,Animation Chronicle 2022,"('Ultra Rare', ""Collector's Rare"")",JP,2022-06-11,Animation Chronicle,Booster pack,"('Crystal Skull', 'Dyna Tank', 'Royal Straight Slasher')",https://yugipedia.com/wiki/Animation_Chronicle_2022,2022-09-23 13:40:55,New
AC02-JP045,Animation Chronicle 2022,"('Super Rare', 'Collector""s Rare')",JP,2022-06-11,Animation Chronicle,Booster pack,"('Crystal Skull', 'Dyna Tank', 'Royal Straight Slasher')",https://yugipedia.com/wiki/Animation_Chronicle_2022,2022-09-23 13:40:55,Old
AC02-JP045,Animation Chronicle 2022,"('Super Rare', ""Collector's Rare"")",JP,2022-06-11,Animation Chronicle,Booster pack,"('Crystal Skull', 'Dyna Tank', 'Royal Straight Slasher')",https://yugipedia.com/wiki/Animation_Chronicle_2022,2022-09-23 13:40:55,New
AMDE-DE004,Amazing Defenders,"('Ultra Rare', 'Collector""s Rare')",DE,2023-01-19,,Booster pack,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",https://yugipedia.com/wiki/Amazing_Defenders,2023-01-11 03:17:28,Old
AMDE-DE004,Amazing Defenders,"('Ultra Rare', ""Collector's Rare"")",DE,2023-01-19,,Booster pack,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",https://yugipedia.com/wiki/Amazing_Defenders,2023-01-11 03:17:28,New
AMDE-DE007,Amazing Defenders,"('Ultra Rare', 'Collector""s Rare')",DE,2023-01-19,,Booster pack,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",https://yugipedia.com/wiki/Amazing_Defenders,2023-01-11 03:17:28,Old
AMDE-DE007,Amazing Defenders,"('Ultra Rare', ""Collector's Rare"")",DE,2023-01-19,,Booster pack,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",https://yugipedia.com/wiki/Amazing_Defenders,2023-01-11 03:17:28,New
AMDE-DE013,Amazing Defenders,"('Ultra Rare', 'Collector""s Rare')",DE,2023-01-19,,Booster pack,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",https://yugipedia.com/wiki/Amazing_Defenders,2023-01-11 03:17:28,Old
AMDE-DE013,Amazing Defenders,"('Ultra Rare', ""Collector's Rare"")",DE,2023-01-19,,Booster pack,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",https://yugipedia.com/wiki/Amazing_Defenders,2023-01-11 03:17:28,New
AMDE-DE017,Amazing Defenders,"('Super Rare', 'Collector""s Rare')",DE,2023-01-19,,Booster pack,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",https://yugipedia.com/wiki/Amazing_Defenders,2023-01-11 03:17:28,Old
AMDE-DE017,Amazing Defenders,"('Super Rare', ""Collector's Rare"")",DE,2023-01-19,,Booster pack,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",https://yugipedia.com/wiki/Amazing_Defenders,2023-01-11 03:17:28,New
AMDE-DE018,Amazing Defenders,"('Super Rare', 'Collector""s Rare')",DE,2023-01-19,,Booster pack,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",https://yugipedia.com/wiki/Amazing_Defenders,2023-01-11 03:17:28,Old
AMDE-DE018,Amazing Defenders,"('Super Rare', ""Collector's Rare"")",DE,2023-01-19,,Booster pack,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",https://yugipedia.com/wiki/Amazing_Defenders,2023-01-11 03:17:28,New
AMDE-DE020,Amazing Defenders,"('Ultra Rare', 'Collector""s Rare')",DE,2023-01-19,,Booster pack,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",https://yugipedia.com/wiki/Amazing_Defenders,2023-01-11 03:17:28,Old
AMDE-DE020,Amazing Defenders,"('Ultra Rare', ""Collector's Rare"")",DE,2023-01-19,,Booster pack,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",https://yugipedia.com/wiki/Amazing_Defenders,2023-01-11 03:17:28,New
AMDE-DE022,Amazing Defenders,"('Ultra Rare', 'Collector""s Rare')",DE,2023-01-19,,Booster pack,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",https://yugipedia.com/wiki/Amazing_Defenders,2023-01-11 03:17:28,Old
AMDE-DE022,Amazing Defenders,"('Ultra Rare', ""Collector's Rare"")",DE,2023-01-19,,Booster pack,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",https://yugipedia.com/wiki/Amazing_Defenders,2023-01-11 03:17:28,New
AMDE-DE025,Amazing Defenders,"('Super Rare', 'Collector""s Rare')",DE,2023-01-19,,Booster pack,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",https://yugipedia.com/wiki/Amazing_Defenders,2023-01-11 03:17:28,Old
AMDE-DE025,Amazing Defenders,"('Super Rare', ""Collector's Rare"")",DE,2023-01-19,,Booster pack,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",https://yugipedia.com/wiki/Amazing_Defenders,2023-01-11 03:17:28,New
AMDE-DE026,Amazing Defenders,"('Super Rare', 'Collector""s Rare')",DE,2023-01-19,,Booster pack,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",https://yugipedia.com/wiki/Amazing_Defenders,2023-01-11 03:17:28,Old
AMDE-DE026,Amazing Defenders,"('Super Rare', ""Collector's Rare"")",DE,2023-01-19,,Booster pack,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",https://yugipedia.com/wiki/Amazing_Defenders,2023-01-11 03:17:28,New
AMDE-DE033,Amazing Defenders,"('Rare', 'Collector""s Rare')",DE,2023-01-19,,Booster pack,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",https://yugipedia.com/wiki/Amazing_Defenders,2023-01-11 03:17:28,Old
AMDE-DE033,Amazing Defenders,"('Rare', ""Collector's Rare"")",DE,2023-01-19,,Booster pack,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",https://yugipedia.com/wiki/Amazing_Defenders,2023-01-11 03:17:28,New
AMDE-DE038,Amazing Defenders,"('Super Rare', 'Collector""s Rare')",DE,2023-01-19,,Booster pack,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",https://yugipedia.com/wiki/Amazing_Defenders,2023-01-11 03:17:28,Old
AMDE-DE038,Amazing Defenders,"('Super Rare', ""Collector's Rare"")",DE,2023-01-19,,Booster pack,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",https://yugipedia.com/wiki/Amazing_Defenders,2023-01-11 03:17:28,New
AMDE-DE040,Amazing Defenders,"('Super Rare', 'Collector""s Rare')",DE,2023-01-19,,Booster pack,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",https://yugipedia.com/wiki/Amazing_Defenders,2023-01-11 03:17:28,Old
AMDE-DE040,Amazing Defenders,"('Super Rare', ""Collector's Rare"")",DE,2023-01-19,,Booster pack,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",https://yugipedia.com/wiki/Amazing_Defenders,2023-01-11 03:17:28,New
AMDE-DE046,Amazing Defenders,"('Rare', 'Collector""s Rare')",DE,2023-01-19,,Booster pack,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",https://yugipedia.com/wiki/Amazing_Defenders,2023-01-11 03:17:28,Old
AMDE-DE046,Amazing Defenders,"('Rare', ""Collector's Rare"")",DE,2023-01-19,,Booster pack,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",https://yugipedia.com/wiki/Amazing_Defenders,2023-01-11 03:17:28,New
AMDE-DE048,Amazing Defenders,"('Rare', 'Collector""s Rare')",DE,2023-01-19,,Booster pack,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",https://yugipedia.com/wiki/Amazing_Defenders,2023-01-11 03:17:28,Old
AMDE-DE048,Amazing Defenders,"('Rare', ""Collector's Rare"")",DE,2023-01-19,,Booster pack,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",https://yugipedia.com/wiki/Amazing_Defenders,2023-01-11 03:17:28,New
AMDE-DE052,Amazing Defenders,"('Super Rare', 'Collector""s Rare')",DE,2023-01-19,,Booster pack,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",https://yugipedia.com/wiki/Amazing_Defenders,2023-01-11 03:17:28,Old
AMDE-DE052,Amazing Defenders,"('Super Rare', ""Collector's Rare"")",DE,2023-01-19,,Booster pack,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",https://yugipedia.com/wiki/Amazing_Defenders,2023-01-11 03:17:28,New
AMDE-EN004,Amazing Defenders,"('Ultra Rare', 'Collector""s Rare')",EN,2023-01-19,,Booster pack,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",https://yugipedia.com/wiki/Amazing_Defenders,2023-01-11 03:17:28,Old
AMDE-EN004,Amazing Defenders,"('Ultra Rare', ""Collector's Rare"")",EN,2023-01-19,,Booster pack,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",https://yugipedia.com/wiki/Amazing_Defenders,2023-01-11 03:17:28,New
AMDE-EN007,Amazing Defenders,"('Ultra Rare', 'Collector""s Rare')",EN,2023-01-19,,Booster pack,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",https://yugipedia.com/wiki/Amazing_Defenders,2023-01-11 03:17:28,Old
AMDE-EN007,Amazing Defenders,"('Ultra Rare', ""Collector's Rare"")",EN,2023-01-19,,Booster pack,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",https://yugipedia.com/wiki/Amazing_Defenders,2023-01-11 03:17:28,New
AMDE-EN013,Amazing Defenders,"('Ultra Rare', 'Collector""s Rare')",EN,2023-01-19,,Booster pack,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",https://yugipedia.com/wiki/Amazing_Defenders,2023-01-11 03:17:28,Old
AMDE-EN013,Amazing Defenders,"('Ultra Rare', ""Collector's Rare"")",EN,2023-01-19,,Booster pack,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",https://yugipedia.com/wiki/Amazing_Defenders,2023-01-11 03:17:28,New
AMDE-EN017,Amazing Defenders,"('Super Rare', 'Collector""s Rare')",EN,2023-01-19,,Booster pack,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",https://yugipedia.com/wiki/Amazing_Defenders,2023-01-11 03:17:28,Old
AMDE-EN017,Amazing Defenders,"('Super Rare', ""Collector's Rare"")",EN,2023-01-19,,Booster pack,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",https://yugipedia.com/wiki/Amazing_Defenders,2023-01-11 03:17:28,New
AMDE-EN018,Amazing Defenders,"('Super Rare', 'Collector""s Rare')",EN,2023-01-19,,Booster pack,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",https://yugipedia.com/wiki/Amazing_Defenders,2023-01-11 03:17:28,Old
AMDE-EN018,Amazing Defenders,"('Super Rare', ""Collector's Rare"")",EN,2023-01-19,,Booster pack,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",https://yugipedia.com/wiki/Amazing_Defenders,2023-01-11 03:17:28,New
AMDE-EN020,Amazing Defenders,"('Ultra Rare', 'Collector""s Rare')",EN,2023-01-19,,Booster pack,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",https://yugipedia.com/wiki/Amazing_Defenders,2023-01-11 03:17:28,Old
AMDE-EN020,Amazing Defenders,"('Ultra Rare', ""Collector's Rare"")",EN,2023-01-19,,Booster pack,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",https://yugipedia.com/wiki/Amazing_Defenders,2023-01-11 03:17:28,New
AMDE-EN022,Amazing Defenders,"('Ultra Rare', 'Collector""s Rare')",EN,2023-01-19,,Booster pack,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",https://yugipedia.com/wiki/Amazing_Defenders,2023-01-11 03:17:28,Old
AMDE-EN022,Amazing Defenders,"('Ultra Rare', ""Collector's Rare"")",EN,2023-01-19,,Booster pack,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",https://yugipedia.com/wiki/Amazing_Defenders,2023-01-11 03:17:28,New
AMDE-EN025,Amazing Defenders,"('Super Rare', 'Collector""s Rare')",EN,2023-01-19,,Booster pack,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",https://yugipedia.com/wiki/Amazing_Defenders,2023-01-11 03:17:28,Old
AMDE-EN025,Amazing Defenders,"('Super Rare', ""Collector's Rare"")",EN,2023-01-19,,Booster pack,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",https://yugipedia.com/wiki/Amazing_Defenders,2023-01-11 03:17:28,New
AMDE-EN026,Amazing Defenders,"('Super Rare', 'Collector""s Rare')",EN,2023-01-19,,Booster pack,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",https://yugipedia.com/wiki/Amazing_Defenders,2023-01-11 03:17:28,Old
AMDE-EN026,Amazing Defenders,"('Super Rare', ""Collector's Rare"")",EN,2023-01-19,,Booster pack,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",https://yugipedia.com/wiki/Amazing_Defenders,2023-01-11 03:17:28,New
AMDE-EN033,Amazing Defenders,"('Rare', 'Collector""s Rare')",EN,2023-01-19,,Booster pack,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",https://yugipedia.com/wiki/Amazing_Defenders,2023-01-11 03:17:28,Old
AMDE-EN033,Amazing Defenders,"('Rare', ""Collector's Rare"")",EN,2023-01-19,,Booster pack,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",https://yugipedia.com/wiki/Amazing_Defenders,2023-01-11 03:17:28,New
AMDE-EN038,Amazing Defenders,"('Super Rare', 'Collector""s Rare')",EN,2023-01-19,,Booster pack,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",https://yugipedia.com/wiki/Amazing_Defenders,2023-01-11 03:17:28,Old
AMDE-EN038,Amazing Defenders,"('Super Rare', ""Collector's Rare"")",EN,2023-01-19,,Booster pack,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",https://yugipedia.com/wiki/Amazing_Defenders,2023-01-11 03:17:28,New
AMDE-EN040,Amazing Defenders,"('Super Rare', 'Collector""s Rare')",EN,2023-01-19,,Booster pack,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",https://yugipedia.com/wiki/Amazing_Defenders,2023-01-11 03:17:28,Old
AMDE-EN040,Amazing Defenders,"('Super Rare', ""Collector's Rare"")",EN,2023-01-19,,Booster pack,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",https://yugipedia.com/wiki/Amazing_Defenders,2023-01-11 03:17:28,New
AMDE-EN046,Amazing Defenders,"('Rare', 'Collector""s Rare')",EN,2023-01-19,,Booster pack,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",https://yugipedia.com/wiki/Amazing_Defenders,2023-01-11 03:17:28,Old
AMDE-EN046,Amazing Defenders,"('Rare', ""Collector's Rare"")",EN,2023-01-19,,Booster pack,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",https://yugipedia.com/wiki/Amazing_Defenders,2023-01-11 03:17:28,New
AMDE-EN048,Amazing Defenders,"('Rare', 'Collector""s Rare')",EN,2023-01-19,,Booster pack,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",https://yugipedia.com/wiki/Amazing_Defenders,2023-01-11 03:17:28,Old
AMDE-EN048,Amazing Defenders,"('Rare', ""Collector's Rare"")",EN,2023-01-19,,Booster pack,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",https://yugipedia.com/wiki/Amazing_Defenders,2023-01-11 03:17:28,New
AMDE-EN052,Amazing Defenders,"('Super Rare', 'Collector""s Rare')",EN,2023-01-19,,Booster pack,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",https://yugipedia.com/wiki/Amazing_Defenders,2023-01-11 03:17:28,Old
